geo_name,geo_level,redfin_code,state_code,include,notes
"Santa Cruz, CA metro area",cbsa_metro,42100,CA,1,Generated from Redfin macro hierarchy; metro_code=42100
"Santa Maria, CA metro area",cbsa_metro,42200,CA,1,Generated from Redfin macro hierarchy; metro_code=42200
"Santa Rosa, CA metro area",cbsa_metro,42220,CA,1,Generated from Redfin macro hierarchy; metro_code=42220
"Sonora, CA metro area",cbsa_metro,43760,CA,1,Generated from Redfin macro hierarchy; metro_code=43760
"Staunton, VA metro area",cbsa_metro,44420,VA,1,Generated from Redfin macro hierarchy; metro_code=44420
"Stockton, CA metro area",cbsa_metro,44700,CA,1,Generated from Redfin macro hierarchy; metro_code=44700
"Susanville, CA metro area",cbsa_metro,45000,CA,1,Generated from Redfin macro hierarchy; metro_code=45000
"Trenton, NJ metro area",cbsa_metro,45940,NJ,1,Generated from Redfin macro hierarchy; metro_code=45940
"Truckee, CA metro area",cbsa_metro,46020,CA,1,Generated from Redfin macro hierarchy; metro_code=46020
"Ukiah, CA metro area",cbsa_metro,46380,CA,1,Generated from Redfin macro hierarchy; metro_code=46380
"Vallejo, CA metro area",cbsa_metro,46700,CA,1,Generated from Redfin macro hierarchy; metro_code=46700
"Vineland, NJ metro area",cbsa_metro,47220,NJ,1,Generated from Redfin macro hierarchy; metro_code=47220
"Virginia Beach, VA metro area",cbsa_metro,47260,VA,1,Generated from Redfin macro hierarchy; metro_code=47260
"Visalia, CA metro area",cbsa_metro,47300,CA,1,Generated from Redfin macro hierarchy; metro_code=47300
"Washington, DC metro area",cbsa_metro,47894,DC,1,Generated from Redfin macro hierarchy; metro_code=47894
"Winchester, VA metro area",cbsa_metro,49020,VA,1,Generated from Redfin macro hierarchy; metro_code=49020
"Yuba City, CA metro area",cbsa_metro,49700,CA,1,Generated from Redfin macro hierarchy; metro_code=49700
"Alameda County, CA",county,303,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=303
"Albemarle County, VA",county,2938,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2938
"Alexandria, VA",county,3032,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3032
"Allegany County, MD",county,1310,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1310
"Amelia County, VA",county,2940,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2940
"Amherst County, VA",county,2941,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2941
"Anne Arundel County, MD",county,1311,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1311
"Appomattox County, VA",county,2942,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2942
"Arlington County, VA",county,2943,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2943
"Atlantic County, NJ",county,1891,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1891
"Augusta County, VA",county,2944,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2944
"Baltimore City County, MD",county,1333,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1333
"Baltimore County, MD",county,1312,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1312
"Bedford County, VA",county,2946,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2946
"Botetourt County, VA",county,2948,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2948
"Burlington County, NJ",county,1893,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1893
"Butte County, CA",county,306,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=306
"Calvert County, MD",county,1313,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1313
"Camden County, NJ",county,1894,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1894
"Campbell County, VA",county,2952,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2952
"Cape May County, NJ",county,1895,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1895
"Carroll County, MD",county,1315,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1315
"Charles City County, VA",county,2955,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2955
"Charles County, MD",county,1317,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1317
"Charlottesville, VA",county,3036,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3036
