geo_name,geo_level,redfin_code,state_code,include,notes
"20841, Montgomery County, MD",zip,8273,MD,1,"Generated from Redfin local context hierarchy; zip5=20841; state_code=MD; county=Montgomery County, MD; redfin_table_id=8273; parent_county_table_id=1324"
"20842, Montgomery County, MD",zip,8274,MD,1,"Generated from Redfin local context hierarchy; zip5=20842; state_code=MD; county=Montgomery County, MD; redfin_table_id=8274; parent_county_table_id=1324"
"20848, Montgomery County, MD",zip,8276,MD,1,"Generated from Redfin local context hierarchy; zip5=20848; state_code=MD; county=Montgomery County, MD; redfin_table_id=8276; parent_county_table_id=1324"
"20849, Montgomery County, MD",zip,8277,MD,1,"Generated from Redfin local context hierarchy; zip5=20849; state_code=MD; county=Montgomery County, MD; redfin_table_id=8277; parent_county_table_id=1324"
"20850, Montgomery County, MD",zip,8278,MD,1,"Generated from Redfin local context hierarchy; zip5=20850; state_code=MD; county=Montgomery County, MD; redfin_table_id=8278; parent_county_table_id=1324"
"20851, Montgomery County, MD",zip,8279,MD,1,"Generated from Redfin local context hierarchy; zip5=20851; state_code=MD; county=Montgomery County, MD; redfin_table_id=8279; parent_county_table_id=1324"
"20852, Montgomery County, MD",zip,8280,MD,1,"Generated from Redfin local context hierarchy; zip5=20852; state_code=MD; county=Montgomery County, MD; redfin_table_id=8280; parent_county_table_id=1324"
"20853, Montgomery County, MD",zip,8281,MD,1,"Generated from Redfin local context hierarchy; zip5=20853; state_code=MD; county=Montgomery County, MD; redfin_table_id=8281; parent_county_table_id=1324"
"20854, Montgomery County, MD",zip,8282,MD,1,"Generated from Redfin local context hierarchy; zip5=20854; state_code=MD; county=Montgomery County, MD; redfin_table_id=8282; parent_county_table_id=1324"
"20855, Montgomery County, MD",zip,8283,MD,1,"Generated from Redfin local context hierarchy; zip5=20855; state_code=MD; county=Montgomery County, MD; redfin_table_id=8283; parent_county_table_id=1324"
"20860, Montgomery County, MD",zip,8286,MD,1,"Generated from Redfin local context hierarchy; zip5=20860; state_code=MD; county=Montgomery County, MD; redfin_table_id=8286; parent_county_table_id=1324"
"20861, Montgomery County, MD",zip,8287,MD,1,"Generated from Redfin local context hierarchy; zip5=20861; state_code=MD; county=Montgomery County, MD; redfin_table_id=8287; parent_county_table_id=1324"
"20862, Montgomery County, MD",zip,8288,MD,1,"Generated from Redfin local context hierarchy; zip5=20862; state_code=MD; county=Montgomery County, MD; redfin_table_id=8288; parent_county_table_id=1324"
"20866, Montgomery County, MD",zip,8289,MD,1,"Generated from Redfin local context hierarchy; zip5=20866; state_code=MD; county=Montgomery County, MD; redfin_table_id=8289; parent_county_table_id=1324"
"20868, Montgomery County, MD",zip,8290,MD,1,"Generated from Redfin local context hierarchy; zip5=20868; state_code=MD; county=Montgomery County, MD; redfin_table_id=8290; parent_county_table_id=1324"
"20871, Montgomery County, MD",zip,8291,MD,1,"Generated from Redfin local context hierarchy; zip5=20871; state_code=MD; county=Montgomery County, MD; redfin_table_id=8291; parent_county_table_id=1324"
"20872, Montgomery County, MD",zip,8292,MD,1,"Generated from Redfin local context hierarchy; zip5=20872; state_code=MD; county=Montgomery County, MD; redfin_table_id=8292; parent_county_table_id=1324"
"20874, Montgomery County, MD",zip,8293,MD,1,"Generated from Redfin local context hierarchy; zip5=20874; state_code=MD; county=Montgomery County, MD; redfin_table_id=8293; parent_county_table_id=1324"
"20876, Montgomery County, MD",zip,8295,MD,1,"Generated from Redfin local context hierarchy; zip5=20876; state_code=MD; county=Montgomery County, MD; redfin_table_id=8295; parent_county_table_id=1324"
"20877, Montgomery County, MD",zip,8296,MD,1,"Generated from Redfin local context hierarchy; zip5=20877; state_code=MD; county=Montgomery County, MD; redfin_table_id=8296; parent_county_table_id=1324"
"20878, Montgomery County, MD",zip,8297,MD,1,"Generated from Redfin local context hierarchy; zip5=20878; state_code=MD; county=Montgomery County, MD; redfin_table_id=8297; parent_county_table_id=1324"
"20879, Montgomery County, MD",zip,8298,MD,1,"Generated from Redfin local context hierarchy; zip5=20879; state_code=MD; county=Montgomery County, MD; redfin_table_id=8298; parent_county_table_id=1324"
"20880, Montgomery County, MD",zip,8299,MD,1,"Generated from Redfin local context hierarchy; zip5=20880; state_code=MD; county=Montgomery County, MD; redfin_table_id=8299; parent_county_table_id=1324"
"20882, Montgomery County, MD",zip,8300,MD,1,"Generated from Redfin local context hierarchy; zip5=20882; state_code=MD; county=Montgomery County, MD; redfin_table_id=8300; parent_county_table_id=1324"
"20884, Montgomery County, MD",zip,8302,MD,1,"Generated from Redfin local context hierarchy; zip5=20884; state_code=MD; county=Montgomery County, MD; redfin_table_id=8302; parent_county_table_id=1324"
"20886, Montgomery County, MD",zip,8304,MD,1,"Generated from Redfin local context hierarchy; zip5=20886; state_code=MD; county=Montgomery County, MD; redfin_table_id=8304; parent_county_table_id=1324"
"20889, Montgomery County, MD",zip,8305,MD,1,"Generated from Redfin local context hierarchy; zip5=20889; state_code=MD; county=Montgomery County, MD; redfin_table_id=8305; parent_county_table_id=1324"
"20894, Montgomery County, MD",zip,8308,MD,1,"Generated from Redfin local context hierarchy; zip5=20894; state_code=MD; county=Montgomery County, MD; redfin_table_id=8308; parent_county_table_id=1324"
"20895, Montgomery County, MD",zip,8309,MD,1,"Generated from Redfin local context hierarchy; zip5=20895; state_code=MD; county=Montgomery County, MD; redfin_table_id=8309; parent_county_table_id=1324"
"20896, Montgomery County, MD",zip,8310,MD,1,"Generated from Redfin local context hierarchy; zip5=20896; state_code=MD; county=Montgomery County, MD; redfin_table_id=8310; parent_county_table_id=1324"
"20901, Montgomery County, MD",zip,8314,MD,1,"Generated from Redfin local context hierarchy; zip5=20901; state_code=MD; county=Montgomery County, MD; redfin_table_id=8314; parent_county_table_id=1324"
"20902, Montgomery County, MD",zip,8315,MD,1,"Generated from Redfin local context hierarchy; zip5=20902; state_code=MD; county=Montgomery County, MD; redfin_table_id=8315; parent_county_table_id=1324"
"20903, Montgomery County, MD",zip,8316,MD,1,"Generated from Redfin local context hierarchy; zip5=20903; state_code=MD; county=Montgomery County, MD; redfin_table_id=8316; parent_county_table_id=1324"
"20904, Montgomery County, MD",zip,8317,MD,1,"Generated from Redfin local context hierarchy; zip5=20904; state_code=MD; county=Montgomery County, MD; redfin_table_id=8317; parent_county_table_id=1324"
"20905, Montgomery County, MD",zip,8318,MD,1,"Generated from Redfin local context hierarchy; zip5=20905; state_code=MD; county=Montgomery County, MD; redfin_table_id=8318; parent_county_table_id=1324"
"20906, Montgomery County, MD",zip,8319,MD,1,"Generated from Redfin local context hierarchy; zip5=20906; state_code=MD; county=Montgomery County, MD; redfin_table_id=8319; parent_county_table_id=1324"
"20907, Montgomery County, MD",zip,8320,MD,1,"Generated from Redfin local context hierarchy; zip5=20907; state_code=MD; county=Montgomery County, MD; redfin_table_id=8320; parent_county_table_id=1324"
"20910, Montgomery County, MD",zip,8322,MD,1,"Generated from Redfin local context hierarchy; zip5=20910; state_code=MD; county=Montgomery County, MD; redfin_table_id=8322; parent_county_table_id=1324"
"20912, Montgomery County, MD",zip,8324,MD,1,"Generated from Redfin local context hierarchy; zip5=20912; state_code=MD; county=Montgomery County, MD; redfin_table_id=8324; parent_county_table_id=1324"
"20913, Montgomery County, MD",zip,8325,MD,1,"Generated from Redfin local context hierarchy; zip5=20913; state_code=MD; county=Montgomery County, MD; redfin_table_id=8325; parent_county_table_id=1324"
"20914, Montgomery County, MD",zip,8326,MD,1,"Generated from Redfin local context hierarchy; zip5=20914; state_code=MD; county=Montgomery County, MD; redfin_table_id=8326; parent_county_table_id=1324"
"20918, Montgomery County, MD",zip,8329,MD,1,"Generated from Redfin local context hierarchy; zip5=20918; state_code=MD; county=Montgomery County, MD; redfin_table_id=8329; parent_county_table_id=1324"
"20993, Montgomery County, MD",zip,8330,MD,1,"Generated from Redfin local context hierarchy; zip5=20993; state_code=MD; county=Montgomery County, MD; redfin_table_id=8330; parent_county_table_id=1324"
"21771, Montgomery County, MD",zip,8644,MD,1,"Generated from Redfin local context hierarchy; zip5=21771; state_code=MD; county=Montgomery County, MD; redfin_table_id=8644; parent_county_table_id=1324"
