date,metric,stage,standardized_value,county_count
2009-11-30,labor_force,Raw,-1.2145374191849037,7
2009-11-30,laus_unemployment_rate,MA3,1.5140855523434884,7
2009-11-30,laus_unemployment_rate,MA6,1.5317292721705884,7
2009-11-30,laus_unemployment_rate,MA9,1.3938892211851215,7
2009-11-30,laus_unemployment_rate,Raw,1.4084828099214646,7
2009-12-31,employment,MA3,-1.555597951823627,7
2009-12-31,employment,MA6,-1.507545413711689,7
2009-12-31,employment,MA9,-1.4903084910778406,7
2009-12-31,employment,Raw,-1.586798358633795,7
2009-12-31,labor_force,MA3,-1.2838372155849258,7
2009-12-31,labor_force,MA6,-1.1963828237394356,7
2009-12-31,labor_force,MA9,-1.2097398696282091,7
2009-12-31,labor_force,Raw,-1.3418421686711208,7
